"1_HASH","2_TYPE","3_STARTLINE","4_ENDLINE","5_SEGMENTOS"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","24","24","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","29","29","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","50","50","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","57","57","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","100","100","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","105","105","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","124","124","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","129","129","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","JavadocComment","16","18","3"
"ec555f87b34179729d30c57abf93fdf807ce9f75","JavadocComment","23","25","3"
"ec555f87b34179729d30c57abf93fdf807ce9f75","JavadocComment","30","32","3"
"ec555f87b34179729d30c57abf93fdf807ce9f75","JavadocComment","37","39","3"
"ec555f87b34179729d30c57abf93fdf807ce9f75","JavadocComment","44","46","3"
"ec555f87b34179729d30c57abf93fdf807ce9f75","JavadocComment","11","13","3"
"ec555f87b34179729d30c57abf93fdf807ce9f75","JavadocComment","18","20","3"
"ec555f87b34179729d30c57abf93fdf807ce9f75","JavadocComment","48","58","11"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","69","69","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","BlockComment","75","77","3"
"ec555f87b34179729d30c57abf93fdf807ce9f75","JavadocComment","7","10","4"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","61","61","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","70","70","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","73","73","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","106","106","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","115","115","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","118","118","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","300","300","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","320","320","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","324","324","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","329","329","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","331","331","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","336","336","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","333","333","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","383","383","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","LineComment","386","386","1"
"ec555f87b34179729d30c57abf93fdf807ce9f75","JavadocComment","7","10","4"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","24","24","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","29","29","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","50","50","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","57","57","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","100","100","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","105","105","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","124","124","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","129","129","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","JavadocComment","16","18","3"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","JavadocComment","23","25","3"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","JavadocComment","30","32","3"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","JavadocComment","37","39","3"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","JavadocComment","44","46","3"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","JavadocComment","11","13","3"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","JavadocComment","18","20","3"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","JavadocComment","7","10","4"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","61","61","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","70","70","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","73","73","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","106","106","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","115","115","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","118","118","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","300","300","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","320","320","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","324","324","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","329","329","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","331","331","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","336","336","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","333","333","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","383","383","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","LineComment","386","386","1"
"ee4283f7af82c823ded24e2093fe8bcb4104cf01","JavadocComment","7","10","4"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","24","24","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","29","29","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","50","50","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","57","57","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","100","100","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","105","105","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","124","124","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","129","129","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","JavadocComment","16","18","3"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","JavadocComment","23","25","3"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","JavadocComment","30","32","3"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","JavadocComment","37","39","3"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","JavadocComment","44","46","3"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","JavadocComment","11","13","3"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","JavadocComment","18","20","3"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","46","46","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","50","50","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","BlockComment","109","111","3"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","JavadocComment","7","10","4"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","61","61","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","70","70","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","73","73","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","106","106","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","115","115","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","118","118","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","288","288","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","308","308","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","312","312","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","317","317","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","319","319","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","324","324","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","321","321","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","371","371","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","374","374","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","LineComment","381","381","1"
"e41fecab9a7cc1a15ca36c515323403c98bdd37d","JavadocComment","7","10","4"
